Afghanistan,"China,Iran,Pakistan,Tajikistan,Turkmenistan, Uzbekistan"
Albania,"Greece,Kosovo,North Macedonia,Montenegro"
Algeria,"Libya,Mali,Mauritania,Morocco,Niger,Tunisia,Western Sahara"
Andorra,"France,Spain"
Angola,"Democratic Republic of Congo,Congo,Namibia,Zambia"
Antigua and Barbuda,
Argentina,"Bolivia,Brazil,Chile,Paraguay,Uruguay"
Armenia,"Azerbaijan,Georgia,Iran,Turkey"
Australia,
Austria,"Czechia,Germany,Hungary,Italy,Liechtenstein,Solvakia,Slovenia,Switzerland"
Azerbaijan,"Armenia,Georgia,Iran,Russia,Turkey"
Bahamas,
Bahrain,
Bangladesh,"India,Myanmar"
Barbados,
Belarus,"Latvia,Lithuania,Poland,Russia,Ukraine"
Belgium,"France,Germany,Luxembourg,Netherlands"
Belize,"Guatemala,Mexico"
Benin,"Burkina Faso,Niger,Nigeria,Togo"
Bolivia,"Argentina,Brazil,Chile,Paraguay,Peru"
Bosnia and Herzegovina,"Croatia,Montenegro,Serbia"
Botswana,"Namibia,South Africa,Zambia,Zimbabwe"
Brazil,"Argentina,Bolivia,Colombia,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela"
Brunei,Malaysia
Bulgaria,"Greece,North Macedonia,Romania,Serbia,Turkey"
Burkina Faso,"Benin,Cote d'Ivoire,Ghana,Mali,Niger,Togo"
Burundi,"Democratic Republic of Congo,Rwanda,Tanzania"
Cameroon,"Central African Republic,Chad,Congo,Equatorial Guinea,Gabon,Nigeria"
Canada,United States
Cape Verde,
Central African Republic,"Cameroon,Chad,Democratic Republic of Congo,South Sudan,Sudan"
Chad,"Cameroon,Central African Republic,Libya,Niger,Nigeria,Sudan"
Chile,"Argentina,Bolivia,Peru"
China,"Afghanistan,Bhutan,Hong Kong,India,Kazakhstan,North Korea,Kyrgystan,Laos,Macau,Mongolia,Myanmar,Nepal,Russia,Tajikistan,Vietnam,Pakistan"
Colombia,"Brazil,Ecuador,Panama,Peru,Venezuela"
Comoros,
Congo,"Angola,Cameroon,Central African Republic,Democratic Republic of Congo,Gabon"
Costa Rica,"Nicaragua,Panama"
Cote d'Ivoire,"Burkina Faso,Ghana,Guinea,Liberia,Mali"
Croatia,"Bosnia and Herzegovina,Hungary,Montenegro,Serbia,Slovenia"
Cuba,
Cyprus,
Czechia,"Austria,Germany,Poland,Slovakia"
Democratic Republic of Congo,"Angola,Burundi,Central African Republic,Congo,Rwanda,South Sudan,Tanzania,Uganda,Zambia"
Denmark,Germany
Djibouti,"Eritrea,Ethiopia,Somalia"
Dominican Republic,Haiti
Ecuador,"Colombia,Peru"
Egypt,"Palestine,Israel,Libya,Sudan"
El Salvador,"Guatemala,Honduras"
Equatorial Guinea,"Cameroon,Gabon"
Eritrea,"Djibouti,Ethiopia,Sudan"
Estonia,"Latvia,Russia"
Eswatini,"Mozambique,South Africa"
Ethiopia,"Djibouti,Eritrea,Kenya,Somalia,South Sudan,Sudan"
Fiji,
Finland,"Norway,Sweden,Russia"
France,"Andorra,Belgium,Germany,Italy,Luxembourg,Monaco,Spain,Switzerland"
Gabon,"Cameroon,Congo,Equatorial Guinea"
Gambia,Senegal
Georgia,"Armenia,Azerbaijan,Russia,Turkey,Abkhazia,South Ossetia"
Germany,"Austria,Belgium,Czechia,Denmark,France,Luxembourg,Netherlands,Poland,Switzerland"
Ghana,"Burkina Faso,Cote d'Ivoire,Togo"
Greece,"Albania,Bulgaria,Turkey,North Macedonia"
Guatemala,"Belize,El Salvador,Honduras,Mexico"
Guinea,"Cote d'Ivoire,Guinea-Bissau,Liberia,Mali,Senegal,Sierra Leone"
Guinea-Bissau,"Guina,Senegal"
Guyana,"Brazil,Suriname,Venezuela"
Haiti,Dominican Republic
Honduras,"Guatemala,El Salvador,Nicaragua"
Hong Kong,China
Hungary,"Austria,Croatia,Romania,Serbia,Slovakia,Slovenia,Ukraine"
Iceland,
India,"Bangladesh,Bhutan,China,Myanmar,Nepal,Pakistan"
Indonesia,"East Timor,Malaysia,Papua New Guinea"
Iran,"Afghanistan,Armenia,Azerbaijan,Iraq,Pakistan,Turkey,Turkmenistan"
Iraq,"Iran,Jordan,Kuwait,Saudi Arabia,Syria,Turkey"
Ireland,United Kingdom
Israel,"Egypt,Palestine,Jordan,Lebanon,Syria"
Italy,"Austria,France,San Marino,Slovenia,Switzerland,Vatican City"
Jamaica,
Japan,
Jordan,"Iraq,Israel,Saudi Arabia,Syria,Palestine"
Kazakhstan,"China,Kyrgystan,Russia,Turkmenistan,Uzbekistan"
Kenya,"Ethiopia,Somalia,South Sudan,Tanzania,Uganda"
Kosovo,"Albania,Montenegro,North Macedonia,Serbia"
Kuwait,"Iraq,Saudi Arabia"
Kyrgyzstan,"China,Kazakhstan,Tajikstan,Uzbekistan"
Latvia,"Belarus,Estonia,Lithuania,Russia"
Lebanon,"Israel,Syria"
Lesotho,South Africa
Liberia,"Guinea,Cote d'Ivoire,Sierra Leone"
Libya,"Algeria,Chad,Egypt,Niger,Sudan,Tunisia"
Liechtenstein,"Austria,Switzerland"
Lithuania,"Belarus,Latvia,Poland,Russia"
Luxembourg,"Belgium,France,Germany"
Madagascar,
Malawi,"Mozambique,Tanzania,Zambia"
