day,origin_country,destination_country,flight_count
2021-04-01,Algeria,Belgium,1
2021-04-01,Algeria,France,6
2021-04-01,Algeria,Germany,1
2021-04-01,Algeria,Spain,3
2021-04-01,Argentina,Germany,1
2021-04-01,Argentina,Netherlands,1
2021-04-01,Argentina,Spain,1
2021-04-01,Argentina,United States,4
2021-04-01,Australia,China,3
2021-04-01,Australia,Germany,1
2021-04-01,Australia,Hong Kong,4
2021-04-01,Australia,Japan,2
2021-04-01,Australia,Malaysia,2
2021-04-01,Australia,New Zealand,3
2021-04-01,Australia,Qatar,4
2021-04-01,Australia,Singapore,17
2021-04-01,Australia,South Korea,1
2021-04-01,Australia,Taiwan,5
2021-04-01,Australia,United Arab Emirates,2
2021-04-01,Australia,United States,12
2021-04-01,Austria,Belgium,4
2021-04-01,Austria,Croatia,3
2021-04-01,Austria,Cyprus,1
2021-04-01,Austria,Czechia,1
2021-04-01,Austria,Denmark,1
2021-04-01,Austria,Finland,1
2021-04-01,Austria,France,5
2021-04-01,Austria,Germany,30
2021-04-01,Austria,Greece,1
2021-04-01,Austria,Hungary,4
2021-04-01,Austria,India,1
2021-04-01,Austria,Israel,2
2021-04-01,Austria,Italy,7
2021-04-01,Austria,Jordan,1
2021-04-01,Austria,Latvia,1
2021-04-01,Austria,Lithuania,1
2021-04-01,Austria,Luxembourg,1
2021-04-01,Austria,Netherlands,5
2021-04-01,Austria,Poland,3
2021-04-01,Austria,Qatar,1
2021-04-01,Austria,Romania,2
2021-04-01,Austria,Russia,2
2021-04-01,Austria,Slovakia,1
2021-04-01,Austria,Spain,2
2021-04-01,Austria,Sweden,2
2021-04-01,Austria,Switzerland,6
2021-04-01,Austria,Taiwan,1
2021-04-01,Austria,Turkey,6
2021-04-01,Austria,Ukraine,1
2021-04-01,Austria,United Arab Emirates,1
2021-04-01,Austria,United Kingdom,6
2021-04-01,Bahamas,United States,12
2021-04-01,Bahrain,Bangladesh,1
2021-04-01,Bahrain,Hong Kong,1
2021-04-01,Bahrain,India,3
2021-04-01,Bahrain,Italy,1
2021-04-01,Bahrain,Kuwait,3
2021-04-01,Bahrain,Netherlands,1
2021-04-01,Bahrain,Pakistan,1
2021-04-01,Bahrain,Saudi Arabia,3
2021-04-01,Bahrain,Spain,1
2021-04-01,Bahrain,United Arab Emirates,12
2021-04-01,Bahrain,United Kingdom,1
2021-04-01,Bangladesh,Bahrain,1
2021-04-01,Bangladesh,Hong Kong,2
2021-04-01,Bangladesh,India,8
2021-04-01,Bangladesh,Kuwait,2
2021-04-01,Bangladesh,Malaysia,2
2021-04-01,Bangladesh,Qatar,2
2021-04-01,Bangladesh,Saudi Arabia,1
2021-04-01,Bangladesh,Singapore,2
2021-04-01,Bangladesh,Spain,1
2021-04-01,Bangladesh,Turkey,1
2021-04-01,Bangladesh,United Arab Emirates,9
2021-04-01,Barbados,Saint Lucia,1
2021-04-01,Barbados,Saint Vincent and the Grenadines,1
2021-04-01,Barbados,United States,3
2021-04-01,Belarus,Austria,1
2021-04-01,Belarus,Belgium,1
2021-04-01,Belarus,Estonia,1
2021-04-01,Belarus,France,1
2021-04-01,Belarus,Germany,1
2021-04-01,Belarus,Israel,1
2021-04-01,Belarus,Italy,1
2021-04-01,Belarus,Latvia,1
2021-04-01,Belarus,Lithuania,1
2021-04-01,Belarus,Netherlands,1
2021-04-01,Belarus,Poland,2
2021-04-01,Belarus,Russia,4
2021-04-01,Belarus,Serbia,1
2021-04-01,Belarus,Switzerland,1
2021-04-01,Belarus,Turkey,2
2021-04-01,Belarus,Ukraine,5
2021-04-01,Belgium,Algeria,1
2021-04-01,Belgium,Austria,3
2021-04-01,Belgium,Belarus,1
2021-04-01,Belgium,Croatia,1
2021-04-01,Belgium,Cyprus,1
2021-04-01,Belgium,Czechia,1
2021-04-01,Belgium,Denmark,2
2021-04-01,Belgium,Finland,2
2021-04-01,Belgium,France,10
2021-04-01,Belgium,Gambia,1
2021-04-01,Belgium,Germany,22
2021-04-01,Belgium,Greece,2
2021-04-01,Belgium,Hong Kong,2
2021-04-01,Belgium,Hungary,1
2021-04-01,Belgium,Ireland,2
2021-04-01,Belgium,Italy,10
2021-04-01,Belgium,Jersey,1
2021-04-01,Belgium,Luxembourg,2
2021-04-01,Belgium,Netherlands,4
2021-04-01,Belgium,Poland,2
2021-04-01,Belgium,Portugal,2
2021-04-01,Belgium,Qatar,4
2021-04-01,Belgium,Romania,1
2021-04-01,Belgium,Russia,1
2021-04-01,Belgium,Spain,8
2021-04-01,Belgium,Sweden,7
2021-04-01,Belgium,Switzerland,1
2021-04-01,Belgium,Turkey,7
2021-04-01,Belgium,United Arab Emirates,2
2021-04-01,Belgium,United Kingdom,9
2021-04-01,Belgium,United States,8
2021-04-01,Belize,United States,1
2021-04-01,Bermuda,United Kingdom,2
2021-04-01,Bermuda,United States,7
2021-04-01,Brazil,Argentina,2
2021-04-01,Brazil,Belgium,1
2021-04-01,Brazil,Colombia,3
2021-04-01,Brazil,France,1
2021-04-01,Brazil,Germany,1
2021-04-01,Brazil,Netherlands,2
2021-04-01,Brazil,Panama,2
2021-04-01,Brazil,Portugal,3
2021-04-01,Brazil,Qatar,2
2021-04-01,Brazil,Senegal,1
2021-04-01,Brazil,Spain,1
2021-04-01,Brazil,Switzerland,1
2021-04-01,Brazil,Turkey,1
2021-04-01,Brazil,United Arab Emirates,1
2021-04-01,Brazil,United States,13
2021-04-01,Brunei,Singapore,2
2021-04-01,Canada,Belgium,1
2021-04-01,Canada,Bermuda,1
2021-04-01,Canada,Colombia,1
2021-04-01,Canada,Denmark,1
2021-04-01,Canada,France,3
2021-04-01,Canada,Germany,4
2021-04-01,Canada,Greece,1
2021-04-01,Canada,India,2
2021-04-01,Canada,Italy,1
2021-04-01,Canada,Japan,3
2021-04-01,Canada,Morocco,1
2021-04-01,Canada,Netherlands,5
2021-04-01,Canada,Poland,1
2021-04-01,Canada,Portugal,1
2021-04-01,Canada,Qatar,1
2021-04-01,Canada,South Korea,2
2021-04-01,Canada,Spain,1
2021-04-01,Canada,Switzerland,1
2021-04-01,Canada,Taiwan,2
2021-04-01,Canada,Turkey,1
2021-04-01,Canada,United Arab Emirates,1
2021-04-01,Canada,United Kingdom,4
2021-04-01,Canada,United States,66
2021-04-01,China,Bangladesh,1
2021-04-01,China,Belgium,2
2021-04-01,China,France,2
2021-04-01,China,Germany,1
2021-04-01,China,Hong Kong,1
2021-04-01,China,India,2
2021-04-01,China,Israel,1
2021-04-01,China,Japan,1
2021-04-01,China,Kazakhstan,1
2021-04-01,China,Macau,1
2021-04-01,China,Malaysia,2
2021-04-01,China,New Zealand,1
2021-04-01,China,Philippines,1
2021-04-01,China,Qatar,3
2021-04-01,China,Russia,2
2021-04-01,China,Singapore,5
2021-04-01,China,South Korea,4
2021-04-01,China,Taiwan,4
2021-04-01,China,Turkey,1
2021-04-01,China,United Kingdom,1
2021-04-01,China,United States,3
2021-04-01,China,Vietnam,1
2021-04-01,Colombia,Canada,1
2021-04-01,Colombia,Ecuador,1
2021-04-01,Colombia,France,1
2021-04-01,Colombia,Germany,1
2021-04-01,Colombia,Netherlands,1
2021-04-01,Colombia,Panama,2
2021-04-01,Colombia,Spain,3
2021-04-01,Colombia,United States,30
2021-04-01,Croatia,Austria,2
2021-04-01,Croatia,Belgium,1
2021-04-01,Croatia,France,1
2021-04-01,Croatia,Germany,9
2021-04-01,Croatia,Ireland,1
2021-04-01,Croatia,Italy,1
2021-04-01,Croatia,Netherlands,3
2021-04-01,Croatia,Poland,1
2021-04-01,Croatia,Russia,1
2021-04-01,Croatia,Spain,1
2021-04-01,Croatia,Switzerland,1
2021-04-01,Croatia,Turkey,2
2021-04-01,Croatia,United Kingdom,1
2021-04-01,Cyprus,Austria,1
2021-04-01,Cyprus,Germany,1
2021-04-01,Cyprus,Greece,7
2021-04-01,Cyprus,Israel,4
2021-04-01,Cyprus,Jordan,1
2021-04-01,Cyprus,Lebanon,2
2021-04-01,Cyprus,Russia,4
