,origin,destination,day,origin_country,destination_country
145322,DAAG,LFPG,2020-04-01 00:00:00+00:00,Algeria,France
18,SAEZ,LOWW,2020-04-01 00:00:00+00:00,Argentina,Austria
205890,SAEZ,EBLG,2020-04-01 00:00:00+00:00,Argentina,Belgium
268858,SAEZ,SBKP,2020-04-01 00:00:00+00:00,Argentina,Brazil
144009,SAEZ,LFPG,2020-04-01 00:00:00+00:00,Argentina,France
145880,SAEZ,KMIA,2020-04-01 00:00:00+00:00,Argentina,United States
279644,UDYZ,EDDN,2020-04-01 00:00:00+00:00,Armenia,Germany
207152,UDYZ,UUDD,2020-04-01 00:00:00+00:00,Armenia,Russia
0,YSSY,LOWW,2020-04-01 00:00:00+00:00,Australia,Austria
4492,YSSY,CYVR,2020-04-01 00:00:00+00:00,Australia,Canada
11955,YSSY,VHHH,2020-04-01 00:00:00+00:00,Australia,Hong Kong
11956,YSSY,VHHH,2020-04-01 00:00:00+00:00,Australia,Hong Kong
12346,YMML,VHHH,2020-04-01 00:00:00+00:00,Australia,Hong Kong
12347,YMML,VHHH,2020-04-01 00:00:00+00:00,Australia,Hong Kong
15094,YBCG,VHHH,2020-04-01 00:00:00+00:00,Australia,Hong Kong
21598,YSSY,RJTE,2020-04-01 00:00:00+00:00,Australia,Japan
21706,YSSY,WMKK,2020-04-01 00:00:00+00:00,Australia,Malaysia
9842,YSSY,NZAA,2020-04-01 00:00:00+00:00,Australia,New Zealand
9843,YSSY,NZAA,2020-04-01 00:00:00+00:00,Australia,New Zealand
9844,YSSY,NZAA,2020-04-01 00:00:00+00:00,Australia,New Zealand
9845,YSSY,NZAA,2020-04-01 00:00:00+00:00,Australia,New Zealand
10007,YMML,NZAA,2020-04-01 00:00:00+00:00,Australia,New Zealand
302533,YPPH,RPLC,2020-04-01 00:00:00+00:00,Australia,Philippines
494,YSSY,OTHH,2020-04-01 00:00:00+00:00,Australia,Qatar
495,YSSY,OTHH,2020-04-01 00:00:00+00:00,Australia,Qatar
681,YMML,OTHH,2020-04-01 00:00:00+00:00,Australia,Qatar
682,YMML,OTHH,2020-04-01 00:00:00+00:00,Australia,Qatar
735,YBBN,OTHH,2020-04-01 00:00:00+00:00,Australia,Qatar
873,YPPH,OTHH,2020-04-01 00:00:00+00:00,Australia,Qatar
874,YPPH,OTHH,2020-04-01 00:00:00+00:00,Australia,Qatar
875,YPPH,OTHH,2020-04-01 00:00:00+00:00,Australia,Qatar
15988,YSSY,WSSS,2020-04-01 00:00:00+00:00,Australia,Singapore
15989,YSSY,WSSS,2020-04-01 00:00:00+00:00,Australia,Singapore
16107,YMML,WSSS,2020-04-01 00:00:00+00:00,Australia,Singapore
19045,YSSY,RKSI,2020-04-01 00:00:00+00:00,Australia,South Korea
19046,YSSY,RKSI,2020-04-01 00:00:00+00:00,Australia,South Korea
22939,YBBN,RCTP,2020-04-01 00:00:00+00:00,Australia,Taiwan
18116,YSSY,VTBS,2020-04-01 00:00:00+00:00,Australia,Thailand
18188,YMML,VTBS,2020-04-01 00:00:00+00:00,Australia,Thailand
30215,YMML,OMDB,2020-04-01 00:00:00+00:00,Australia,United Arab Emirates
6626,YSSY,KSFO,2020-04-01 00:00:00+00:00,Australia,United States
251874,KOKB,KSEE,2020-04-01 00:00:00+00:00,Australia,United States
253569,KOKB,KCRQ,2020-04-01 00:00:00+00:00,Australia,United States
253570,KOKB,KCRQ,2020-04-01 00:00:00+00:00,Australia,United States
345648,KOKB,KNFG,2020-04-01 00:00:00+00:00,Australia,United States
301073,LOWW,UMMS,2020-04-01 00:00:00+00:00,Austria,Belarus
206328,LOWW,EBLG,2020-04-01 00:00:00+00:00,Austria,Belgium
265484,LOWG,LCLK,2020-04-01 00:00:00+00:00,Austria,Cyprus
278375,LOWW,LFPB,2020-04-01 00:00:00+00:00,Austria,France
27393,LOWW,EDDF,2020-04-01 00:00:00+00:00,Austria,Germany
27394,LOWW,EDDF,2020-04-01 00:00:00+00:00,Austria,Germany
27395,LOWW,EDDF,2020-04-01 00:00:00+00:00,Austria,Germany
204577,LOWW,EDDK,2020-04-01 00:00:00+00:00,Austria,Germany
227977,LOWL,EDDP,2020-04-01 00:00:00+00:00,Austria,Germany
238321,LOWW,EDDM,2020-04-01 00:00:00+00:00,Austria,Germany
277393,LOWW,EDDL,2020-04-01 00:00:00+00:00,Austria,Germany
277676,LOWS,EDDL,2020-04-01 00:00:00+00:00,Austria,Germany
258783,LOWW,LGAV,2020-04-01 00:00:00+00:00,Austria,Greece
264501,LOWW,LHBP,2020-04-01 00:00:00+00:00,Austria,Hungary
185716,LOWW,LIMC,2020-04-01 00:00:00+00:00,Austria,Italy
260386,LOWW,LIRF,2020-04-01 00:00:00+00:00,Austria,Italy
263022,LOWW,ENGM,2020-04-01 00:00:00+00:00,Austria,Norway
1945,LOWW,OTHH,2020-04-01 00:00:00+00:00,Austria,Qatar
52419,LOWW,UUEE,2020-04-01 00:00:00+00:00,Austria,Russia
306212,LOWW,LYBT,2020-04-01 00:00:00+00:00,Austria,Serbia
274933,LOWW,LJLJ,2020-04-01 00:00:00+00:00,Austria,Slovenia
265240,LOWW,LEVC,2020-04-01 00:00:00+00:00,Austria,Spain
265140,LOWW,UKBB,2020-04-01 00:00:00+00:00,Austria,Ukraine
227387,OBBI,EDDP,2020-04-01 00:00:00+00:00,Bahrain,Germany
227388,OBBI,EDDP,2020-04-01 00:00:00+00:00,Bahrain,Germany
15098,OBBI,VHHH,2020-04-01 00:00:00+00:00,Bahrain,Hong Kong
15099,OBBI,VHHH,2020-04-01 00:00:00+00:00,Bahrain,Hong Kong
15100,OBBI,VHHH,2020-04-01 00:00:00+00:00,Bahrain,Hong Kong
259560,OBBI,VOCI,2020-04-01 00:00:00+00:00,Bahrain,India
301211,OBBI,OETH,2020-04-01 00:00:00+00:00,Bahrain,Saudi Arabia
31049,OBBI,OMDB,2020-04-01 00:00:00+00:00,Bahrain,United Arab Emirates
31050,OBBI,OMDB,2020-04-01 00:00:00+00:00,Bahrain,United Arab Emirates
31051,OBBI,OMDB,2020-04-01 00:00:00+00:00,Bahrain,United Arab Emirates
31052,OBBI,OMDB,2020-04-01 00:00:00+00:00,Bahrain,United Arab Emirates
31053,OBBI,OMDB,2020-04-01 00:00:00+00:00,Bahrain,United Arab Emirates
67388,OBBI,EGLL,2020-04-01 00:00:00+00:00,Bahrain,United Kingdom
51911,VGTJ,WSSL,2020-04-01 00:00:00+00:00,Bangladesh,Singapore
50871,TBPB,CYYZ,2020-04-01 00:00:00+00:00,Barbados,Canada
342,UMMS,LOWW,2020-04-01 00:00:00+00:00,Belarus,Austria
343,UMMS,LOWW,2020-04-01 00:00:00+00:00,Belarus,Austria
145004,UMMS,LFPG,2020-04-01 00:00:00+00:00,Belarus,France
267738,UMMS,EDDV,2020-04-01 00:00:00+00:00,Belarus,Germany
